RLP,RLP_Name,EUNIS,EUNIS_angepasst,EUNIS_Name,EUNIS_Name_deutsch,LRT1,LRT2,LRT3,Qualifier_EUNIS_RLP,EAGLE_Biotic_Vegetation,EAGLE_vegetationType,EAGLE_water,EAGLE_MowingTypeValue,EAGLE_GrazingTypeValue,EAGLE_leafFormValue,EAGLE_Trees,EAGLE_wetness,NATFLO_wetness,NATFLO_species_richness,NATFLO_immature_soil,NATFLO_hydromorphic,NATFLO_acidity,NATFLO_saline,NATFLO_heavy_metal,NATFLO_depression,NATFLO_slope,EUNIS_substrate_type,NATFLO_root_penetration,NATFLO_geological_characteristics,EUNIS_geomorphology,NATFLO_slope_position,NATFLO_rows,NATFLO_bog,NATFLO_bosk,NATFLO_usage_intensity,NATFLO_usage,NATFLO_minHeight,NATFLO_maxHeight,NATFLO_geometry,EUNIS_dominant_plant_species,EAGLE_water_regime,EUNIS_water_regime,NATFLO_exposition,NATFLO_trophic_level,adjacency,NATFLO_temperature,NATFLO_minTreeCover,NATFLO_minShrubCover,NATFLO_minVegCover,NATFLO_minOpenSoilCov,EUNIS_altitude_zone,NATFLO_homogeneity,NATFLO_biomass,NATFLO_line_structures,NATFLO_cultivated
FL1,Wasserfall,C2.2,C2.2,"Permanent n-tidal, fast, turbulent watercourses","Permanente, schnell fliessende Baeche, Fluesse",3260,,,includedIn,0,,water_courses,,,,0,,aquatic,,0,1,,0,0,0,,water,,,"waterfall, cascade",,0,0,0,,,,,linear,,perennial,fringing watercourses/riparian,,,,,Tree canopy cover below 10%,Shrub canopy cover below 10%,Vegetation cover below 30%,,,0,,0,0
FL2,Stromschnelle,C2.2,C2.2,"Permanent n-tidal, fast, turbulent watercourses","Permanente, schnell fliessende Baeche, Fluesse",3260,,,includedIn,0,,water_courses,,,,0,,aquatic,,0,1,,0,0,0,,water,,,"waterfall, cascade",valley,0,0,0,,,,,linear,,perennial,fringing watercourses/riparian,,,,,Tree canopy cover below 10%,Shrub canopy cover below 10%,Vegetation cover below 30%,,,0,,0,0
FM6,Mittelgebirgsbach,C2.2,C2.2,"Permanent n-tidal, fast, turbulent watercourses","Permanente, schnell fliessende Baeche, Fluesse",3260,,,includedIn,0,,water_courses,,,,0,,aquatic,,0,1,,0,0,0,,water,,,"brook, stream, headwater",valley,0,0,0,,,,,linear,,perennial,fringing watercourses/riparian,,,,,Tree canopy cover below 10%,Shrub canopy cover below 10%,Vegetation cover below 30%,,collinar/submontane/montane,0,,0,0
FO1,Mittelgebirgsfluss,C2.2,C2.2,"Permanent n-tidal, fast, turbulent watercourses","Permanente, schnell fliessende Baeche, Fluesse",3260,,,includedIn,0,,water_courses,,,,0,,aquatic,,0,1,,0,0,0,,water,,,river,valley,0,0,0,,,,,linear,,perennial,fringing watercourses/riparian,,,,,Tree canopy cover below 10%,Shrub canopy cover below 10%,Vegetation cover below 30%,,collinar/submontane/montane,0,,0,0
FC1,Altarm (angebunden),C2.3,C2.3,"Permanent n-tidal, smooth-flowing watercourses",Permanente langsam fliessende (Tiefland-)Baeche und Fluesse,3130,3140,3150,includedIn,0,,water_courses,,,,0,,aquatic,,0,1,,0,0,0,,water,,,river,valley,0,0,0,,,,,linear,,perennial,frequently submerged,,,,,Tree canopy cover below 10%,Shrub canopy cover below 10%,Vegetation cover below 30%,,littoral/sublittoral/planar/collinar,0,,0,0
FC4,"Altarm (angebunden, durchstroemt)",C2.3,C2.3,"Permanent n-tidal, smooth-flowing watercourses",Permanente langsam fliessende (Tiefland-)Baeche und Fluesse,3130,3140,3150,includedIn,0,,water_courses,,,,0,,aquatic,,0,1,,0,0,0,,water,,,river,valley,0,0,0,,,,,linear,,perennial,fringing watercourses/riparian,,,,,Tree canopy cover below 10%,Shrub canopy cover below 10%,Vegetation cover below 30%,,littoral/sublittoral/planar/collinar,0,,0,0
FM5,Tieflandbach,C2.3,C2.3,"Permanent n-tidal, smooth-flowing watercourses",Permanente langsam fliessende (Tiefland-)Baeche und Fluesse,3260,,,includedIn,0,,water_courses,,,,0,,aquatic,,0,1,,0,0,0,flat,water,,,"brook, stream, headwater",valley,0,0,0,,,,,linear,,perennial,fringing watercourses/riparian,,,,,Tree canopy cover below 10%,Shrub canopy cover below 10%,Vegetation cover below 30%,,planar,0,,0,0
FO2,Tieflandfluss,C2.3,C2.3,"Permanent n-tidal, smooth-flowing watercourses",Permanente langsam fliessende (Tiefland-)Baeche und Fluesse,3260,,,includedIn,0,,water_courses,,,,0,,aquatic,,0,1,,0,0,0,flat,water,,,river,valley,0,0,0,,,,,linear,,perennial,fringing watercourses/riparian,,,,,Tree canopy cover below 10%,Shrub canopy cover below 10%,Vegetation cover below 30%,,planar,0,,0,0
CF2,Roehrichtbestand hochwuechsiger Arten,C3.2,C3.2,Water-fringing reedbeds and tall helophytes other than canes,Schilf- und Grossroehrichte,,,,congruent,1,reed,,,,,0,,aquatic,species_poor,0,1,,0,0,1,flat,waterlogged peat,,,blanket bog,,0,0,0,,,1,,,,,waterlogged,,,standing_water,,Tree canopy cover below 10%,Shrub canopy cover below 10%,Vegetation cover exceeds 30%,Bare ground negligible or nil,,1,,0,0
CF2a,Schilfroehricht,C3.21,C3.21,Phragmites australis beds,Schillfroehrichte,,,,congruent,1,reed,,,,,0,,aquatic,species_poor,0,1,,0,0,1,flat,waterlogged peat,,,blanket bog,,0,0,0,,,1,,,Phragmites,,waterlogged,,,standing_water,,Tree canopy cover below 10%,Shrub canopy cover below 10%,Vegetation cover exceeds 30%,Bare ground negligible or nil,,1,,0,0
